throttle,voltage_v,rpm,current_a,thrust_g,air_density_kg_m3
0.05,25.2,1831.0,1.646,5.62,1.225
0.10,25.2,4032.3,2.210,27.27,1.225
0.15,25.2,6111.6,3.130,62.65,1.225
0.20,25.2,8087.0,4.354,109.70,1.225
0.25,25.2,9972.7,5.840,166.82,1.225
0.30,25.2,11780.0,7.556,232.76,1.225
0.35,25.2,13517.8,9.474,306.51,1.225
0.40,25.2,15193.7,11.574,387.22,1.225
0.45,25.2,16813.8,13.837,474.20,1.225
0.50,25.2,18383.4,16.248,566.86,1.225
0.55,25.2,19906.8,18.793,664.71,1.225
0.60,25.2,21387.9,21.462,767.30,1.225
0.65,25.2,22830.2,24.245,874.27,1.225
0.70,25.2,24236.4,27.133,985.29,1.225
0.75,25.2,25609.2,30.119,1100.07,1.225
0.80,25.2,26950.8,33.197,1218.35,1.225
0.85,25.2,28263.3,36.359,1339.90,1.225
0.90,25.2,29548.4,39.601,1464.52,1.225
0.95,25.2,30807.9,42.918,1592.03,1.225
1.00,25.2,32043.2,46.306,1722.26,1.225
